gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK
199,-463,49.875,-115.625,5,3,4.5,6,5,True,0.1980952380952381,0.06896551724137931,0.13353037766830872,0.009523809523809525,0.8333333333333334,4.175
199,-458,49.875,-114.375,2,5,0.0,2,2,True,0.4988095238095238,0.13793103448275862,0.31837027914614124,0.002380952380952381,1.0,
199,-457,49.875,-114.125,2,5,1.0,0,0,False,0.4988095238095238,0.13793103448275862,0.31837027914614124,0.002380952380952381,,
200,-509,50.125,-127.125,1,13,0.0,0,0,False,1.0,0.41379310344827586,0.7068965517241379,0.0,,
200,-506,50.125,-126.375,2,10,0.0,0,0,False,0.4988095238095238,0.3103448275862069,0.40457717569786533,0.002380952380952381,,
200,-501,50.125,-125.125,2,1,1.0,8,1,True,0.4988095238095238,0.0,0.2494047619047619,0.002380952380952381,0.125,1.0
200,-493,50.125,-123.125,4,5,2.0,6,5,True,0.24821428571428572,0.13793103448275862,0.19307266009852217,0.007142857142857143,0.8333333333333334,4.335
200,-492,50.125,-122.875,13,2,20.25,29,10,True,0.07472527472527474,0.034482758620689655,0.054604016672982196,0.02857142857142857,0.3448275862068966,2.15
200,-484,50.125,-120.875,6,5,8.0,7,7,True,0.16468253968253968,0.13793103448275862,0.15130678708264916,0.011904761904761904,1.0,5.0
200,-483,50.125,-120.625,5,12,10.0,14,11,True,0.1980952380952381,0.3793103448275862,0.28870279146141214,0.009523809523809525,0.7857142857142857,3.845
200,-482,50.125,-120.375,3,1,3.0,13,7,True,0.33174603174603173,0.0,0.16587301587301587,0.004761904761904762,0.5384615384615384,3.715
200,-478,50.125,-119.375,40,2,60.5,11,3,True,0.02267857142857143,0.034482758620689655,0.028580665024630542,0.09285714285714286,0.2727272727272727,1.585
200,-477,50.125,-119.125,11,3,18.0,3,3,True,0.08874458874458875,0.06896551724137931,0.07885505299298404,0.023809523809523808,1.0,
200,-471,50.125,-117.625,2,6,1.0,0,0,False,0.4988095238095238,0.1724137931034483,0.33561165845648605,0.002380952380952381,,
200,-469,50.125,-117.125,2,2,1.0,0,0,False,0.4988095238095238,0.034482758620689655,0.2666461412151067,0.002380952380952381,,
200,-468,50.125,-116.875,7,1,12.5,1,1,True,0.14081632653061224,0.0,0.07040816326530612,0.014285714285714285,1.0,
200,-464,50.125,-115.875,4,15,2.0,21,8,True,0.24821428571428572,0.4827586206896552,0.3654864532019705,0.007142857142857143,0.38095238095238093,2.78
200,-460,50.125,-114.875,2,13,1.0,0,0,False,0.4988095238095238,0.41379310344827586,0.4563013136288998,0.002380952380952381,,
200,-457,50.125,-114.125,4,4,6.0,1,1,True,0.24821428571428572,0.10344827586206896,0.17583128078817734,0.007142857142857143,1.0,
